president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Joe Biden,Voters,2/14/2023,1/2/2023,1/8/2023,Rasmussen Reports,B,1500,lv,0.13510752,0,46,52,46.977828,48.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81949,166984,1/9/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/3/2023,1/9/2023,Rasmussen Reports,B,1500,lv,0.13469013,0,46,52,46.977828,48.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81961,167024,1/10/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/5/2023,1/8/2023,Premise,,1642,rv,0.8099225,0,40,52,42.374544,51.650266,,,https://projects.fivethirtyeight.com/polls/20230112_Premise.pdf,81977,167102,1/13/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/5/2023,1/8/2023,Morning Consult,B,2000,rv,0.1074618,0,43,53,41.792708,52.803786,,,https://morningconsult.com/2023/01/23/bidens-approval-rating-unmarred-amid-classified-documents-scrutiny/,82026,167374,1/23/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/5/2023,1/9/2023,Navigator Research,B/C,1000,rv,0.94136576,0,46,52,45.24421,51.434311,,,https://navigatorresearch.org/nearly-three-in-five-americans-describe-the-republican-party-as-extreme/,81996,167157,1/18/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/4/2023,1/10/2023,Rasmussen Reports,B,1500,lv,0.13336041,0,47,51,47.977828,47.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81964,167046,1/11/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/1/2023,1/12/2023,Morning Consult,B,45787,rv,2.4601766,0,43,54,41.792708,53.803786,,,https://morningconsult.com/2023/01/19/biden-approval-rating-state-level-q4-2022/,82010,167272,1/19/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/5/2023,1/11/2023,Rasmussen Reports,B,1500,lv,0.39724958,0,47,51,47.977828,47.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81976,167087,1/12/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/8/2023,1/10/2023,YouGov,B+,1356,rv,1.0436146,0,50,47,49.81618,47.418379,,,https://docs.cdn.yougov.com/6ig3yyjvb9/econTabReport.pdf,81966,167049,1/11/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/8/2023,1/12/2023,Rasmussen Reports,B,1500,lv,0.18718264,0,46,52,46.977828,48.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81979,167101,1/13/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/9/2023,1/15/2023,Rasmussen Reports,B,1500,lv,0.13347129,0.00095752,46,53,46.977828,49.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81981,167113,1/16/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/10/2023,1/16/2023,Rasmussen Reports,B,1500,lv,0.13316826,0.00191202,46,52,46.977828,48.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81983,167117,1/17/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/11/2023,1/15/2023,Quinnipiac University,A-,1466,rv,2.0356614,0.04377767,38,53,40.996422,52.617388,,,https://poll.qu.edu/poll-release?releaseid=3864,81998,167218,1/18/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/11/2023,1/17/2023,Rasmussen Reports,B,1500,lv,0.13199878,0.00286274,46,52,46.977828,48.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,81995,167156,1/18/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/12/2023,1/16/2023,YouGov,B+,1029,rv,0.75197516,0.01832475,47,51,46.81618,51.418379,,,https://news.yahoo.com/poll-two-thirds-of-americans-including-most-dems-favor-investigation-into-biden-docs-223133335.html,82001,167247,1/18/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/13/2023,1/15/2023,Morning Consult,B,2000,rv,0.17656376,0.0040202,43,55,41.792708,54.803786,,,https://morningconsult.com/2023/01/23/bidens-approval-rating-unmarred-amid-classified-documents-scrutiny/,82025,167373,1/23/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/12/2023,1/18/2023,Rasmussen Reports,B,1500,lv,0.39431989,0.0114268,44,54,44.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82002,167264,1/19/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/9/2023,1/20/2023,Marquette University Law School,A/B,790,rv,1.5638164,0.06726092,44,56,43.18735,55.146688,,,https://law.marquette.edu/poll/wp-content/uploads/2023/01/MLSPSC12PressRelease_NationalIssues.pdf,82046,167571,1/26/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/14/2023,1/18/2023,Schoen Cooperman Research,B/C,909,rv,1.0506698,0.05648763,45,52,44.158536,51.946458,,,https://thehill.com/opinion/white-house/3826445-the-democrats-path-forward-from-the-classified-documents-probe/,82037,167451,1/24/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/14/2023,1/17/2023,YouGov,B+,1314,rv,0.9506365,0.03892412,47,51,46.81618,51.418379,,,https://docs.cdn.yougov.com/52ob991rpr/econTabReport.pdf,81997,167168,1/18/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/16/2023,1/16/2023,Redfield & Wilton Strategies,B/C,2000,rv,1.1899928,0.05657766,38,46,40.568336,52.04563,,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-16-january-2023/,82012,167276,1/20/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/15/2023,1/19/2023,Rasmussen Reports,B,1500,lv,0.1861999,0.00803353,45,53,45.977828,49.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82011,167275,1/20/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/17/2023,1/20/2023,American Research Group,C+,993,rv,1.0577349,0.09098795,42,54,41.465931,54.979908,,,https://americanresearchgroup.com/economy/,82018,167348,1/23/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/18/2023,1/20/2023,Morning Consult,B,1986,rv,0.43753504,0.01276459,44,54,42.792708,53.803786,,,https://morningconsult.com/2023/01/31/lawmakers-seek-bipartisan-push-on-big-tech-regulation/,82077,167760,1/31/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/16/2023,1/22/2023,Rasmussen Reports,B,1500,lv,0.13310764,0.00765822,46,52,46.977828,48.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82023,167357,1/23/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/18/2023,1/19/2023,Harris Poll,B+,2050,rv,2.132731,0.18346073,42,56,41.631996,56.012476,,,https://thehill.com/homenews/administration/3821184-bidens-approval-underwater-poll/,82015,167328,1/20/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/17/2023,1/23/2023,Rasmussen Reports,B,1500,lv,0.13230345,0.00861725,44,54,44.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82029,167413,1/24/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/19/2023,1/21/2023,Emerson College,A-,1015,rv,1.6494899,0.15962805,44.2,47.8,44.669658,49.43635,,,https://emersoncollegepolling.com/national-poll-bidens-approval-remains-underwater-as-majority-of-gop-voters-support-trump-as-republican-nominee-for-2024/,82030,167414,1/24/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/19/2023,1/23/2023,Premise,,1676,rv,0.73806155,0.05947463,39,52,41.374544,51.650266,,,https://projects.fivethirtyeight.com/polls/20230125_US_Premise2.pdf,82042,167474,1/25/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/19/2023,1/22/2023,SSRS,C,,rv,0.96512261,0.10377662,46,54,45.179511,52.638446,,,https://www.cnn.com/2023/01/25/politics/cnn-poll-biden-documents-special-counsel,82041,167472,1/25/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/18/2023,1/24/2023,Rasmussen Reports,B,1500,lv,0.13133273,0.00958132,44,54,44.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82045,167518,1/25/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/20/2023,1/22/2023,Morning Consult,B,1990,rv,0.47746244,0.01744656,43,55,41.792708,54.803786,,,https://morningconsult.com/2023/01/23/bidens-approval-rating-unmarred-amid-classified-documents-scrutiny/,82024,167372,1/23/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/19/2023,1/25/2023,Rasmussen Reports,B,1500,lv,0.39202185,0.03731938,44,54,44.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82052,167568,1/26/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/20/2023,1/24/2023,Hart Research Associates/Public Opinion Strategies,B+,810,rv,1.2633062,0.1694758,46,50,45.416389,50.192243,,,https://www.nbcnews.com/meet-the-press/first-read/poll-americans-concerned-biden-documents-trumps-rcna67942?cid=sm_npd_nn_tw_mtp,82070,167821,2/1/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/20/2023,1/23/2023,Navigator Research,B/C,1000,rv,0.94136576,0.1134014,43,55,42.24421,54.434311,,,https://navigatorresearch.org/more-americans-think-trumps-handling-of-classified-documents-was-worse-than-bidens/,82078,167761,1/31/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/19/2023,1/24/2023,McLaughlin & Associates,C/D,1000,lv,0.76990828,0.10328519,45,53,44.25618,52.006969,,,https://mclaughlinonline.com/pols/wp-content/uploads/2023/01/National-January-Presentation-RELEASE-01-24-23.pdf,82063,167656,1/26/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/21/2023,1/24/2023,YouGov,B+,1330,rv,1.0254189,0.12530024,43,52,42.81618,52.418379,,,https://docs.cdn.yougov.com/b0nx6h2f1n/econTabReport.pdf,82044,167498,1/25/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/23/2023,1/25/2023,Echelon Insights,B/C,1024,lv,1.243665,0.23306778,40,57,38.757753,56.827492,,,https://echeloninsights.com/in-the-news/january-2023/,82067,167691,1/27/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/22/2023,1/26/2023,Rasmussen Reports,B,1500,lv,0.18540857,0.02555866,43,54,43.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82065,167683,1/27/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/23/2023,1/26/2023,Marist College,A,1135,rv,1.9795606,0.42368476,45,48,45.653008,48.152875,,,https://maristpoll.marist.edu/polls/the-state-of-the-union/,82075,167749,1/30/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/23/2023,1/29/2023,Rasmussen Reports,B,1500,lv,0.13308501,0.02414969,42,54,42.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82074,167747,1/30/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/24/2023,1/30/2023,Rasmussen Reports,B,1500,lv,0.1325119,0.02710885,43,54,43.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82076,167759,1/31/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/26/2023,1/30/2023,Monmouth University,A,757,rv,1.4486202,0.42575934,44,49,45.387566,48.953869,,,https://www.monmouth.edu/polling-institute/reports/monmouthpoll_us_020123/,82093,167863,2/1/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/25/2023,1/31/2023,Rasmussen Reports,B,1500,lv,0.13225226,0.03013389,42,56,42.977828,52.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82088,167820,2/1/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/27/2023,1/30/2023,Beacon Research/Shaw & Company Research,A,1003,rv,1.7894793,0.5735863,45,54,43.827672,53.159167,,,https://www.foxnews.com/official-polls/fox-news-poll-state-union-dysfunction-dissatisfaction-disapproval,82095,167879,2/1/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/28/2023,1/29/2023,Redfield & Wilton Strategies,B/C,1500,rv,1.0094571,0.28167078,39,44,41.568336,50.04563,,,https://redfieldandwiltonstrategies.com/joe-biden-administration-approval-ratings-and-hypothetical-voting-intention-28-29-january-2023/,82105,167904,2/3/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/26/2023,2/1/2023,Rasmussen Reports,B,1500,lv,0.39689676,0.09972261,42,55,42.977828,51.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82096,167895,2/2/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/29/2023,1/31/2023,YouGov,B+,1319,rv,1.0199151,0.30048329,44,52,43.81618,52.418379,,,https://docs.cdn.yougov.com/sqkyqhgbfz/econTabReport.pdf,82091,167841,2/1/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/27/2023,2/1/2023,ABC News/The Washington Post,A+,895,rv,1.7958639,0.62344891,43,53,43.945382,52.359032,,,https://www.washingtonpost.com/politics/2023/02/05/poll-biden-trump-2024/,82107,167922,2/5/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/29/2023,2/2/2023,Rasmussen Reports,B,1500,lv,0.18718456,0.05594029,43,55,43.977828,51.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82104,167903,2/3/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/30/2023,2/5/2023,Rasmussen Reports,B,1500,lv,0.13393436,0.05796096,44,55,44.977828,51.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82110,167950,2/6/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,1/31/2023,2/6/2023,Rasmussen Reports,B,1500,lv,0.1337419,0.06677085,44,54,44.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82112,167955,2/7/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/2/2023,2/6/2023,YouGov,B+,1063,rv,0.87179115,0.50060962,45,53,44.81618,53.418379,,,https://news.yahoo.com/new-poll-shows-americans-at-odds-over-black-history-222030915.html,82129,168733,2/11/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/1/2023,2/7/2023,Rasmussen Reports,B,1500,lv,0.13427213,0.07576222,44,53,44.977828,49.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82125,167989,2/8/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/3/2023,2/6/2023,Premise,,1655,rv,0.82383474,0.52454257,40,51,42.374544,50.650266,,,https://www.premise.com/wp-content/uploads/Bi-Weekly-Political-Sentiment-Tracker-February-6th-2023.pdf,82127,168031,2/8/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/2/2023,2/8/2023,Rasmussen Reports,B,1500,lv,0.40544601,0.25482113,44,54,44.977828,50.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82132,168664,2/9/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/4/2023,2/5/2023,Morning Consult,B,2014,rv,0.98577783,0.60136922,44,52,42.792708,51.803786,,,https://morningconsult.com/2023/02/13/state-of-the-union-brings-no-approval-bump-for-biden/,82124,168842,2/13/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/4/2023,2/7/2023,YouGov,B+,1294,rv,1.1166266,0.77813191,45,52,44.81618,52.418379,,,https://docs.cdn.yougov.com/gg0t2njevs/econTabReport.pdf,82126,167991,2/8/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/5/2023,2/9/2023,Rasmussen Reports,B,1500,lv,0.19698051,0.14834998,45,53,45.977828,49.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82167,168724,2/10/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/6/2023,2/12/2023,Rasmussen Reports,B,1500,lv,0.14744183,0.12928354,45,53,45.977828,49.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82169,168751,2/13/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/7/2023,2/13/2023,Rasmussen Reports,B,1500,lv,1.0551293,0.9903432,45,53,45.977828,49.201321,,T,https://www.rasmussenreports.com/public_content/politics/biden_administration/biden_approval_index_history,82185,168856,2/14/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/10/2023,2/11/2023,Public Policy Polling,A-,1056,rv,1.6962145,1.6962145,44,47,45.101195,48.020181,,,https://www.publicpolicypolling.com/polls/a-happy-valentines-day-for-joe-biden/,82186,168857,2/14/2023,2023/2/14 9:25
Joe Biden,Voters,2/14/2023,2/10/2023,2/12/2023,Morning Consult,B,2009,rv,1.1770706,1.1770706,44,53,42.792708,52.803786,,,https://morningconsult.com/2023/02/13/state-of-the-union-brings-no-approval-bump-for-biden/,82184,168783,2/13/2023,2023/2/14 9:25
